t,ra,dec,xi,eta,x,y,flag,q,col,row,flat,scale,response
768413491.901,242.364245097706,53.6724032340923,-12030.6,-10650.3,-17806.96,-14948.67,0,11.0,199.49,222.49501,0.89433485,1.0317162175902408,0.9226997714820904
768413501.732,242.369668919276,53.6715067789981,-12077.48,-10685.46,-17928.0,-15004.71,0,11.0,198.70865,221.909,0.8857913,1.0317162122981385,0.9138852467047223
768413507.189,242.371363151812,53.672349037489,-12126.63,-10672.37,-17938.81,-14976.69,0,17.0,197.88953,222.12715,0.8822702,1.0317162093605938,0.9102524838549773
768413511.471,242.36672886409,53.6725229985873,-12035.59,-10678.66,-17842.64,-15004.71,0,9.0,199.40685,222.02232,0.89433485,1.0317162070555606,0.9226997620605587
768413515.666,242.364289011077,53.6722343284693,-11994.18,-10712.77,-17793.6,-14990.7,0,10.0,200.09698,221.45383,0.87555325,1.0317162047973603,0.9033224765107205
768413521.554,242.372279796338,53.6727076096088,-12193.55,-10734.07,-18075.93,-15018.72,0,4.0,196.77417,221.09883,0.8861374,1.031716201627805,0.9142423391692784
768413524.458,242.365250207987,53.6726968588325,-12060.04,-10739.95,-17871.56,-15060.75,0,13.0,198.99933,221.00084,0.8857913,1.0317162000645599,0.9138852358683247
768413530.054,242.368786010925,53.6737043540352,-12165.86,-10734.01,-18043.32,-15018.72,0,10.0,197.23566,221.09985,0.87229514,1.0317161970521906,0.8999610258066977
768413539.316,242.363844522588,53.673709561602,-12135.49,-10766.21,-17992.69,-15060.75,0,8.0,197.74182,220.56317,0.86419755,1.031716192066386,0.8916066077531389
768413560.592,242.369703586333,53.6730718836172,-12445.23,-10771.77,-18452.23,-15130.8,0,17.0,192.57948,220.47052,0.8722546,1.0317161806133548,0.899919194815192
768413563.451,242.371360534554,53.6725718708467,-12499.21,-10774.12,-18557.27,-15088.77,0,9.0,191.67984,220.43134,0.8583225,1.0317161790743334,0.8855452113335919
768413569.867,242.37186584526,53.6735692569451,-12555.5,-10694.63,-18653.44,-15018.72,0,9.0,190.74168,221.75616,0.9136674,1.0317161756205524,0.9426454159183172
768413572.466,242.370518927776,53.6715190440767,-12535.78,-10746.08,-18616.78,-15018.72,0,10.0,191.07034,220.89865,0.8583225,1.0317161742214913,0.8855452071682883
768413481.553,242.364693528882,53.6754073365596,-12293.03,-10527.22,-18256.83,-14780.55,0,11.0,195.11617,224.54634,0.881549,1.0317162231606487,0.9095084055745696
768413494.019,242.369353129468,53.6759399059391,-12115.67,-10526.63,-17962.19,-14710.5,0,10.0,198.07217,224.55615,0.8902717,1.0317162164501053,0.918507773945069
768413536.71,242.370347635186,53.6757060173726,-12249.22,-10692.23,-18174.64,-14990.7,0,11.0,195.84634,221.79616,0.8743247,1.0317161934692156,0.9020549300606525
